"country","continent","gdpPercap","lifeExp","pop"
"Afghanistan","Asia",1385462.0,195.0,30593608704
"Albania","Europe",9053232.0,4354.0,2203540378
"Algeria","Africa",10671915.0,221.0,34220952142
"Angola","Africa",4323885.0,366.0,25212672973
"Antigua and Barbuda","North America",16118207.0,2970.0,74046000
"Argentina","South America",15563672.0,15753.0,37487986506
"Armenia","Asia",6933401.0,474.0,2341852992
"Aruba","North America",26980336.0,16842.0,80396250
"Australia","Oceania",35585022.0,15499.0,20553208949
"Austria","Europe",34849938.0,2763.0,6936036224
"Azerbaijan","Asia",12075733.0,9507.0,7790188128
"Bahamas","North America",20705232.0,936.0,296494758
"Bahrain","Asia",33247261.0,18334.0,1342690560
"Bangladesh","Asia",2660608.0,3190.0,125559137970
"Barbados","North America",12665639.0,11744.0,214630168
"Belarus","Europe",13116327.0,900.0,7214350388
"Belgium","Europe",33614958.0,20926.0,9166279192
"Belize","North America",5790028.0,1803.0,299637100
"Benin","Africa",1541984.0,143.0,9300920157
"Bermuda","North America",37697970.0,2720.0,46196448
"Bhutan","Asia",6592408.0,2374.0,590384300
"Bolivia","South America",5178143.0,8865.0,8898367872
"Bosnia and Herzegovina","Europe",8879132.0,189.0,2473701922
"Botswana","Africa",11586805.0,593.0,1757176920
"Brazil","South America",10803244.0,14299.0,163918975806
"Brunei","Asia",54144175.0,5629.0,332915128
"Bulgaria","Europe",14015297.0,6020.0,5206974525
"Burkina Faso","Africa",1282436.0,46.0,16187314041
"Burundi","Africa",514029.0,1.0,8970974028
"Cambodia","Asia",2901476.0,17972.0,13489371016
"Cameroon","Africa",2547249.0,43.0,20608766334
"Canada","North America",35214073.0,19455.0,30454330400
"Cape Verde","Africa",4623358.0,1167.0,417492443
"Cayman Islands","North America",37427272.0,5699.0,49873500
"Central African Republic","Africa",494608.0,157.0,3680150276
"Chad","Africa",1315506.0,12.0,12584748840
"Chile","South America",17507851.0,25291.0,14774306378
"China","Asia",12262278.0,2442.0,1156817097702
"Colombia","South America",10033996.0,8793.0,38808241637
"Comoros","Africa",992551.0,461.0,623696112
"Congo","Africa",3651292.0,79.0,4231448716
"Costa Rica","North America",11752421.0,2079.0,3890263121
"Cote d'Ivoire","Africa",2707957.0,165.0,20344329008
"Croatia","Europe",17387734.0,9192.0,3130630919
"Cyprus","Europe",24473425.0,7756.0,676483775
"Czechia","Europe",24845700.0,16872.0,8172109386
"Democratic Republic of Congo","Africa",607716.0,4.0,69468245472
"Denmark","Europe",36879187.0,21715.0,4592508580
"Djibouti","Africa",2015527.0,100.0,746636765
"Dominica","North America",7167965.0,2102.0,53479452
"Dominican Republic","North America",11125856.0,12865.0,8346730068
"Ecuador","South America",8063435.0,14876.0,13631017188
"Egypt","Africa",8208060.0,654.0,81112978406
"El Salvador","North America",5425589.0,5511.0,4849764000
"Equatorial Guinea","Africa",16908445.0,679.0,1084518468
"Estonia","Europe",23260708.0,16860.0,1045573332
"Eswatini","Africa",5796492.0,689.0,878104381
"Ethiopia","Africa",1297445.0,84.0,88407169500
"Fiji","Oceania",6901459.0,1946.0,715998907
"Finland","Europe",32225062.0,4827.0,4405398634
"France","Europe",30845931.0,19487.0,53870178000
"Gabon","Africa",12405247.0,139.0,1706842921
"Gambia","Africa",1165078.0,210.0,1855255002
"Georgia","Asia",7464731.0,4115.0,3048506118
"Germany","Europe",36002479.0,19459.0,66784774916
"Ghana","Africa",3166495.0,107.0,23767363872
"Greece","Europe",18897700.0,18503.0,7975104443
"Grenada","North America",10073063.0,1143.0,83744115
"Guatemala","North America",5753451.0,3989.0,14143647700
"Guinea","Africa",1499194.0,628.0,10122927750
