Country,Continent,Gdp Per Capita,People Fully Vaccinated Per Hundred,Population
Afghanistan,Asia,"1,385,462",195,"30,593,608,704"
Albania,Europe,"9,053,232","4,354","2,203,540,378"
Algeria,Africa,"10,671,915",221,"34,220,952,142"
Andorra,Europe,,"1,184","58,866,394"
Angola,Africa,"4,323,885",366,"25,212,672,973"
Anguilla,North America,,"2,037","11,116,875"
Antigua and Barbuda,North America,"16,118,207","2,970","74,046,000"
Argentina,South America,"15,563,672","15,753","37,487,986,506"
Armenia,Asia,"6,933,401",474,"2,341,852,992"
Aruba,North America,"26,980,336","16,842","80,396,250"
Australia,Oceania,"35,585,022","15,499","20,553,208,949"
Austria,Europe,"34,849,938","2,763","6,936,036,224"
Azerbaijan,Asia,"12,075,733","9,507","7,790,188,128"
Bahamas,North America,"20,705,232",936,"296,494,758"
Bahrain,Asia,"33,247,261","18,334","1,342,690,560"
Bangladesh,Asia,"2,660,608","3,190","125,559,137,970"
Barbados,North America,"12,665,639","11,744","214,630,168"
Belarus,Europe,"13,116,327",900,"7,214,350,388"
Belgium,Europe,"33,614,958","20,926","9,166,279,192"
Belize,North America,"5,790,028","1,803","299,637,100"
Benin,Africa,"1,541,984",143,"9,300,920,157"
Bermuda,North America,"37,697,970","2,720","46,196,448"
Bhutan,Asia,"6,592,408","2,374","590,384,300"
Bolivia,South America,"5,178,143","8,865","8,898,367,872"
Bonaire Sint Eustatius and Saba,North America,,70,"19,304,850"
Bosnia and Herzegovina,Europe,"8,879,132",189,"2,473,701,922"
Botswana,Africa,"11,586,805",593,"1,757,176,920"
Brazil,South America,"10,803,244","14,299","163,918,975,806"
British Virgin Islands,North America,,"1,555","22,360,905"
Brunei,Asia,"54,144,175","5,629","332,915,128"
Bulgaria,Europe,"14,015,297","6,020","5,206,974,525"
Burkina Faso,Africa,"1,282,436",46,"16,187,314,041"
Burundi,Africa,"514,029",1,"8,970,974,028"
Cambodia,Asia,"2,901,476","17,972","13,489,371,016"
Cameroon,Africa,"2,547,249",43,"20,608,766,334"
Canada,North America,"35,214,073","19,455","30,454,330,400"
Cape Verde,Africa,"4,623,358","1,167","417,492,443"
Cayman Islands,North America,"37,427,272","5,699","49,873,500"
Central African Republic,Africa,"494,608",157,"3,680,150,276"
Chad,Africa,"1,315,506",12,"12,584,748,840"
Chile,South America,"17,507,851","25,291","14,774,306,378"
China,Asia,"12,262,278","2,442","1,156,817,097,702"
Colombia,South America,"10,033,996","8,793","38,808,241,637"
Comoros,Africa,"992,551",461,"623,696,112"
Congo,Africa,"3,651,292",79,"4,231,448,716"
Cook Islands,Oceania,,"1,175","5,552,752"
Costa Rica,North America,"11,752,421","2,079","3,890,263,121"
Cote d'Ivoire,Africa,"2,707,957",165,"20,344,329,008"
Croatia,Europe,"17,387,734","9,192","3,130,630,919"
Cuba,North America,,"16,334","8,499,440,998"
Curacao,North America,,"13,723","123,432,204"
Cyprus,Europe,"24,473,425","7,756","676,483,775"
Czechia,Europe,"24,845,700","16,872","8,172,109,386"
Democratic Republic of Congo,Africa,"607,716",4,"69,468,245,472"
Denmark,Europe,"36,879,187","21,715","4,592,508,580"
Djibouti,Africa,"2,015,527",100,"746,636,765"
Dominica,North America,"7,167,965","2,102","53,479,452"
Dominican Republic,North America,"11,125,856","12,865","8,346,730,068"
Ecuador,South America,"8,063,435","14,876","13,631,017,188"
Egypt,Africa,"8,208,060",654,"81,112,978,406"
El Salvador,North America,"5,425,589","5,511","4,849,764,000"
Equatorial Guinea,Africa,"16,908,445",679,"1,084,518,468"
Eritrea,Africa,"1,120,761",,"2,672,284,804"
Estonia,Europe,"23,260,708","16,860","1,045,573,332"
Eswatini,Africa,"5,796,492",689,"878,104,381"
Ethiopia,Africa,"1,297,445",84,"88,407,169,500"
Faeroe Islands,Europe,,"7,607","37,231,227"
Falkland Islands,South America,,99,"2,568,384"
Fiji,Oceania,"6,901,459","1,946","715,998,907"
Finland,Europe,"32,225,062","4,827","4,405,398,634"
France,Europe,"30,845,931","19,487","53,870,178,000"
French Polynesia,Oceania,,"1,782","211,900,500"
Gabon,Africa,"12,405,247",139,"1,706,842,921"
Gambia,Africa,"1,165,078",210,"1,855,255,002"
Georgia,Asia,"7,464,731","4,115","3,048,506,118"
Germany,Europe,"36,002,479","19,459","66,784,774,916"
Ghana,Africa,"3,166,495",107,"23,767,363,872"
Gibraltar,Europe,,"22,643","25,571,469"
Greece,Europe,"18,897,700","18,503","7,975,104,443"
Greenland,North America,,"4,620","42,480,396"
Grenada,North America,"10,073,063","1,143","83,744,115"
Guatemala,North America,"5,753,451","3,989","14,143,647,700"
Guernsey,Europe,,160,"26,875,240"
Guinea,Africa,"1,499,194",628,"10,122,927,750"
Guinea-Bissau,Africa,"1,142,922",156,"1,487,431,620"
Guyana,South America,"5,583,720","2,817","593,537,079"
Haiti,North America,"1,228,308",15,"8,575,470,469"
Honduras,North America,"3,415,430",819,"7,567,371,488"
Hong Kong,Asia,"44,843,936","15,607","6,042,240,000"
Hungary,Europe,"20,350,946","13,321","7,321,963,120"
Iceland,Europe,"35,512,980","5,828","281,757,088"
India,Asia,"5,096,352","8,475","1,104,973,363,169"
Indonesia,Asia,"8,514,634","8,531","210,311,320,668"
Iran,Asia,"14,750,865","5,133","65,727,231,480"
Iraq,Asia,"12,029,941",460,"31,625,741,568"
Ireland,Europe,"51,376,829","21,011","3,801,955,752"
Isle of Man,Europe,,"12,531","63,459,630"
Israel,Asia,"25,578,151","24,412","7,172,652,000"
Italy,Europe,"27,894,307","20,241","47,811,037,032"
Jamaica,North America,"6,161,565","2,832","2,236,043,424"
Japan,Asia,"31,240,781","10,985","100,966,687,596"
Jersey,Europe,,"5,552","37,599,156"
Jordan,Asia,"6,336,492","5,201","7,804,456,720"
Kazakhstan,Asia,"18,041,691","9,689","14,246,218,500"
Kenya,Africa,"2,265,722","1,130","41,624,176,414"
Kiribati,Oceania,"631,981",261,"38,722,772"
Kosovo,Europe,"7,337,080","7,787","1,334,804,135"
Kuwait,Asia,"50,327,452","1,820","3,324,328,704"
Kyrgyzstan,Asia,"2,528,138","2,370","4,938,118,515"
Laos,Asia,"4,727,649","2,097","5,453,345,562"
Latvia,Europe,"19,198,906","16,153","1,430,071,444"
Lebanon,Asia,"10,306,393","6,204","5,219,015,421"
Lesotho,Africa,"1,964,444",230,"1,487,597,163"
Liberia,Africa,"561,580",112,"3,864,435,168"
Libya,Africa,"13,572,065",817,"5,281,530,342"
Liechtenstein,Europe,,"18,517","29,034,786"
Lithuania,Europe,"22,527,014","18,846","2,052,364,706"
Luxembourg,Europe,"72,405,477",220,"487,537,152"
