country,continent,gdpPercap,lifeExp,pop
Afghanistan,Asia,"1,804",5,"30,593,608,704"
Albania,Europe,"11,803",23,"2,203,540,378"
Algeria,Africa,"13,914",11,"34,220,952,142"
Andorra,Europe,,38,"58,866,394"
Angola,Africa,"5,819",7,"25,212,672,973"
Anguilla,North America,,55,"11,116,875"
Antigua and Barbuda,North America,"21,491",38,"74,046,000"
Argentina,South America,"18,934",34,"37,487,986,506"
Armenia,Asia,"8,788",13,"2,341,852,992"
Aruba,North America,"35,974",61,"80,396,250"
Australia,Oceania,"44,649",39,"20,553,208,949"
Austria,Europe,"45,437",43,"6,936,036,224"
Azerbaijan,Asia,"15,847",29,"7,790,188,128"
Bahamas,North America,"27,718",23,"296,494,758"
Bahrain,Asia,"43,291",53,"1,342,690,560"
Bangladesh,Asia,"3,524",15,"125,559,137,970"
Barbados,North America,"16,978",38,"214,630,168"
Belarus,Europe,"17,168",22,"7,214,350,388"
Belgium,Europe,"42,659",46,"9,166,279,192"
Belize,North America,"7,824",22,"299,637,100"
Benin,Africa,"2,064",7,"9,300,920,157"
Bermuda,North America,"50,669",54,"46,196,448"
Bhutan,Asia,"8,709",58,"590,384,300"
Bolivia,South America,"6,886",22,"8,898,367,872"
Bonaire Sint Eustatius and Saba,North America,,35,"19,304,850"
Bosnia and Herzegovina,Europe,"11,714",9,"2,473,701,922"
Botswana,Africa,"15,807",16,"1,757,176,920"
Brazil,South America,"14,103",35,"163,918,975,806"
British Virgin Islands,North America,,46,"22,360,905"
Brunei,Asia,"71,809",37,"332,915,128"
Bulgaria,Europe,"18,563",15,"5,206,974,525"
Burkina Faso,Africa,"1,703",3,"16,187,314,041"
Burundi,Africa,702,0,"8,970,974,028"
Cambodia,Asia,"3,645",47,"13,489,371,016"
Cameroon,Africa,"3,365",1,"20,608,766,334"
Canada,North America,"44,018",43,"30,454,330,400"
Cape Verde,Africa,"6,223",24,"417,492,443"
Cayman Islands,North America,"49,903",58,"49,873,500"
Central African Republic,Africa,661,9,"3,680,150,276"
Chad,Africa,"1,768",0,"12,584,748,840"
Chile,South America,"22,767",57,"14,774,306,378"
China,Asia,"15,309",79,"1,156,817,097,702"
Colombia,South America,"13,255",31,"38,808,241,637"
Comoros,Africa,"1,414",18,"623,696,112"
Congo,Africa,"4,881",4,"4,231,448,716"
Cook Islands,Oceania,,62,"5,552,752"
Costa Rica,North America,"15,525",32,"3,890,263,121"
Cote d'Ivoire,Africa,"3,601",7,"20,344,329,008"
Croatia,Europe,"22,670",32,"3,130,630,919"
Cuba,North America,,56,"8,499,440,998"
Curacao,North America,,48,"123,432,204"
Cyprus,Europe,"32,415",47,"676,483,775"
Czechia,Europe,"32,606",37,"8,172,109,386"
Democratic Republic of Congo,Africa,808,0,"69,468,245,472"
Denmark,Europe,"46,683",48,"4,592,508,580"
Djibouti,Africa,"2,705",6,"746,636,765"
Dominica,North America,"9,673",31,"53,479,452"
Dominican Republic,North America,"14,601",40,"8,346,730,068"
Ecuador,South America,"10,582",36,"13,631,017,188"
Egypt,Africa,"10,550",10,"81,112,978,406"
El Salvador,North America,"7,292",36,"4,849,764,000"
Equatorial Guinea,Africa,"22,605",9,"1,084,518,468"
Eritrea,Africa,"1,510",,"2,672,284,804"
Estonia,Europe,"29,481",37,"1,045,573,332"
Eswatini,Africa,"7,739",14,"878,104,381"
Ethiopia,Africa,"1,730",17,"88,407,169,500"
Faeroe Islands,Europe,,49,"37,231,227"
Falkland Islands,South America,,49,"2,568,384"
Fiji,Oceania,"8,703",45,"715,998,907"
Finland,Europe,"40,586",52,"4,405,398,634"
France,Europe,"38,606",43,"53,870,178,000"
French Polynesia,Oceania,,32,"211,900,500"
Gabon,Africa,"16,562",3,"1,706,842,921"
Gambia,Africa,"1,562",7,"1,855,255,002"
Georgia,Asia,"9,745",18,"3,048,506,118"
Germany,Europe,"45,229",42,"66,784,774,916"
Ghana,Africa,"4,228",5,"23,767,363,872"
Gibraltar,Europe,,97,"25,571,469"
Greece,Europe,"24,574",44,"7,975,104,443"
Greenland,North America,,36,"42,480,396"
Grenada,North America,"13,594",19,"83,744,115"
Guatemala,North America,"7,424",12,"14,143,647,700"
Guernsey,Europe,,20,"26,875,240"
Guinea,Africa,"1,999",4,"10,122,927,750"
Guinea-Bissau,Africa,"1,549",4,"1,487,431,620"
Guyana,South America,"7,435",27,"593,537,079"
Haiti,North America,"1,653",0,"8,575,470,469"
Honduras,North America,"4,542",19,"7,567,371,488"
Hong Kong,Asia,"56,055",40,"6,042,240,000"
Hungary,Europe,"26,778",40,"7,321,963,120"
Iceland,Europe,"46,483",42,"281,757,088"
India,Asia,"6,427",21,"1,104,973,363,169"
Indonesia,Asia,"11,189",20,"210,311,320,668"
Iran,Asia,"19,083",45,"65,727,231,480"
Iraq,Asia,"15,664",11,"31,625,741,568"
Ireland,Europe,"67,335",46,"3,801,955,752"
Isle of Man,Europe,,50,"63,459,630"
Israel,Asia,"33,132",52,"7,172,652,000"
Italy,Europe,"35,220",45,"47,811,037,032"
Jamaica,North America,"8,194",16,"2,236,043,424"
Japan,Asia,"39,002",39,"100,966,687,596"
Jersey,Europe,,64,"37,599,156"
Jordan,Asia,"8,337",27,"7,804,456,720"
Kazakhstan,Asia,"24,056",30,"14,246,218,500"
Kenya,Africa,"2,993",5,"41,624,176,414"
Kiribati,Oceania,"1,981",20,"38,722,772"
Kosovo,Europe,"9,796",34,"1,334,804,135"
Kuwait,Asia,"65,531",61,"3,324,328,704"
Kyrgyzstan,Asia,"3,393",12,"4,938,118,515"
Laos,Asia,"6,397",22,"5,453,345,562"
Latvia,Europe,"25,064",35,"1,430,071,444"
Lebanon,Asia,"13,368",17,"5,219,015,421"
Lesotho,Africa,"2,851",19,"1,487,597,163"
Liberia,Africa,753,6,"3,864,435,168"
Libya,Africa,"17,882",11,"5,281,530,342"
Liechtenstein,Europe,,44,"29,034,786"
Lithuania,Europe,"29,524",43,"2,052,364,706"
Luxembourg,Europe,"94,278",3,"487,537,152"
Macao,Asia,"104,862",41,"527,371,191"
Madagascar,Africa,"1,416",2,"21,121,508,419"
Malawi,Africa,"1,095",3,"14,421,397,854"
Malaysia,Asia,"26,808",43,"26,188,179,805"
Maldives,Asia,"15,184",50,"410,433,100"
Mali,Africa,"2,014",1,"15,391,524,312"
Malta,Europe,"36,513",59,"391,203,800"
Marshall Islands,Oceania,"3,819",,"31,060,978"
Mauritania,Africa,"3,598",10,"3,576,557,390"
Mauritius,Africa,"20,293",51,"948,703,860"
Mexico,North America,"17,336",26,"107,075,544,840"
Micronesia (country),Oceania,"3,299",,"50,687,180"
Moldova,Europe,"5,190",16,"3,038,138,875"
Monaco,Europe,,41,"30,153,760"
Mongolia,Asia,"11,841",56,"2,506,949,346"
Montenegro,Europe,"16,409",29,"468,526,046"
Montserrat,North America,,25,"3,710,845"
Morocco,Africa,"7,485",27,"29,315,657,795"
Mozambique,Africa,"1,136",13,"23,832,816,345"
Myanmar,Asia,"5,592",23,"40,337,226,304"
Namibia,Africa,"9,542",3,"1,937,920,656"
Nauru,Oceania,"12,896",54,"3,783,804"
Nepal,Asia,"2,443",23,"23,680,586,160"
Netherlands,Europe,"48,473",46,"13,137,416,910"
New Caledonia,Oceania,,34,"214,433,448"
New Zealand,Oceania,"36,086",37,"3,916,493,200"
Nicaragua,North America,"5,321",33,"4,986,569,976"
Niger,Africa,926,2,"18,672,191,830"
Nigeria,Africa,"5,338",1,"161,510,137,856"
Niue,Oceania,,60,"429,324"
North Macedonia,Europe,"13,111",21,"1,595,318,326"
Northern Cyprus,Asia,,31,
Norway,Europe,"64,800",42,"4,192,137,443"
Oman,Asia,"37,961",15,"4,011,552,768"
Pakistan,Asia,"5,035",21,"172,728,345,543"
Palau,Oceania,"13,240",,"4,052,802"
Palestine,Asia,"4,450",10,"3,958,849,048"
Panama,North America,"22,267",30,"3,303,713,582"
Papua New Guinea,Oceania,"3,823",2,"6,775,420,715"
Paraguay,South America,"8,827",9,"5,458,048,596"
Peru,South America,"12,237",32,"25,253,077,155"
Philippines,Asia,"7,599",19,"88,060,199,630"
Pitcairn,Oceania,,80,"3,995"
Poland,Europe,"27,216",37,"28,687,923,000"
Portugal,Europe,"27,937",47,"7,747,957,326"
