Country,Continent,Gdp Per Capita,People Fully Vaccinated Per Hundred,Population
Afghanistan,Asia,"1,385,462.00",195.00,"30,593,608,704.00"
Albania,Europe,"9,053,232.00","4,354.00","2,203,540,378.00"
Algeria,Africa,"10,671,915.00",221.00,"34,220,952,142.00"
Andorra,Europe,,"1,184.00","58,866,394.00"
Angola,Africa,"4,323,885.00",366.00,"25,212,672,973.00"
Anguilla,North America,,"2,037.00","11,116,875.00"
Antigua and Barbuda,North America,"16,118,207.00","2,970.00","74,046,000.00"
Argentina,South America,"15,563,672.00","15,753.00","37,487,986,506.00"
Armenia,Asia,"6,933,401.00",474.00,"2,341,852,992.00"
Aruba,North America,"26,980,336.00","16,842.00","80,396,250.00"
Australia,Oceania,"35,585,022.00","15,499.00","20,553,208,949.00"
Austria,Europe,"34,849,938.00","2,763.00","6,936,036,224.00"
Azerbaijan,Asia,"12,075,733.00","9,507.00","7,790,188,128.00"
Bahamas,North America,"20,705,232.00",936.00,"296,494,758.00"
Bahrain,Asia,"33,247,261.00","18,334.00","1,342,690,560.00"
Bangladesh,Asia,"2,660,608.00","3,190.00","125,559,137,970.00"
Barbados,North America,"12,665,639.00","11,744.00","214,630,168.00"
Belarus,Europe,"13,116,327.00",900.00,"7,214,350,388.00"
Belgium,Europe,"33,614,958.00","20,926.00","9,166,279,192.00"
Belize,North America,"5,790,028.00","1,803.00","299,637,100.00"
Benin,Africa,"1,541,984.00",143.00,"9,300,920,157.00"
Bermuda,North America,"37,697,970.00","2,720.00","46,196,448.00"
Bhutan,Asia,"6,592,408.00","2,374.00","590,384,300.00"
Bolivia,South America,"5,178,143.00","8,865.00","8,898,367,872.00"
Bonaire Sint Eustatius and Saba,North America,,70.00,"19,304,850.00"
Bosnia and Herzegovina,Europe,"8,879,132.00",189.00,"2,473,701,922.00"
Botswana,Africa,"11,586,805.00",593.00,"1,757,176,920.00"
Brazil,South America,"10,803,244.00","14,299.00","163,918,975,806.00"
British Virgin Islands,North America,,"1,555.00","22,360,905.00"
Brunei,Asia,"54,144,175.00","5,629.00","332,915,128.00"
Bulgaria,Europe,"14,015,297.00","6,020.00","5,206,974,525.00"
Burkina Faso,Africa,"1,282,436.00",46.00,"16,187,314,041.00"
Burundi,Africa,"514,029.00",1.00,"8,970,974,028.00"
Cambodia,Asia,"2,901,476.00","17,972.00","13,489,371,016.00"
Cameroon,Africa,"2,547,249.00",43.00,"20,608,766,334.00"
Canada,North America,"35,214,073.00","19,455.00","30,454,330,400.00"
