"country","continent","gdpPercap","lifeExp","pop"
"Afghanistan","Asia",1804.0,5.0,30593608704
"Albania","Europe",11803.0,23.0,2203540378
"Algeria","Africa",13914.0,11.0,34220952142
"Angola","Africa",5819.0,7.0,25212672973
"Antigua and Barbuda","North America",21491.0,38.0,74046000
"Argentina","South America",18934.0,34.0,37487986506
"Armenia","Asia",8788.0,13.0,2341852992
"Aruba","North America",35974.0,61.0,80396250
"Australia","Oceania",44649.0,39.0,20553208949
"Austria","Europe",45437.0,43.0,6936036224
"Azerbaijan","Asia",15847.0,29.0,7790188128
"Bahamas","North America",27718.0,23.0,296494758
"Bahrain","Asia",43291.0,53.0,1342690560
"Bangladesh","Asia",3524.0,15.0,125559137970
"Barbados","North America",16978.0,38.0,214630168
"Belarus","Europe",17168.0,22.0,7214350388
"Belgium","Europe",42659.0,46.0,9166279192
"Belize","North America",7824.0,22.0,299637100
"Benin","Africa",2064.0,7.0,9300920157
"Bermuda","North America",50669.0,54.0,46196448
"Bhutan","Asia",8709.0,58.0,590384300
"Bolivia","South America",6886.0,22.0,8898367872
"Bosnia and Herzegovina","Europe",11714.0,9.0,2473701922
"Botswana","Africa",15807.0,16.0,1757176920
"Brazil","South America",14103.0,35.0,163918975806
"Brunei","Asia",71809.0,37.0,332915128
"Bulgaria","Europe",18563.0,15.0,5206974525
"Burkina Faso","Africa",1703.0,3.0,16187314041
"Burundi","Africa",702.0,0.0,8970974028
"Cambodia","Asia",3645.0,47.0,13489371016
"Cameroon","Africa",3365.0,1.0,20608766334
"Canada","North America",44018.0,43.0,30454330400
"Cape Verde","Africa",6223.0,24.0,417492443
"Cayman Islands","North America",49903.0,58.0,49873500
"Central African Republic","Africa",661.0,9.0,3680150276
"Chad","Africa",1768.0,0.0,12584748840
"Chile","South America",22767.0,57.0,14774306378
"China","Asia",15309.0,79.0,1156817097702
"Colombia","South America",13255.0,31.0,38808241637
"Comoros","Africa",1414.0,18.0,623696112
"Congo","Africa",4881.0,4.0,4231448716
"Costa Rica","North America",15525.0,32.0,3890263121
"Cote d'Ivoire","Africa",3601.0,7.0,20344329008
"Croatia","Europe",22670.0,32.0,3130630919
"Cyprus","Europe",32415.0,47.0,676483775
"Czechia","Europe",32606.0,37.0,8172109386
"Democratic Republic of Congo","Africa",808.0,0.0,69468245472
"Denmark","Europe",46683.0,48.0,4592508580
"Djibouti","Africa",2705.0,6.0,746636765
"Dominica","North America",9673.0,31.0,53479452
"Dominican Republic","North America",14601.0,40.0,8346730068
"Ecuador","South America",10582.0,36.0,13631017188
"Egypt","Africa",10550.0,10.0,81112978406
"El Salvador","North America",7292.0,36.0,4849764000
"Equatorial Guinea","Africa",22605.0,9.0,1084518468
"Estonia","Europe",29481.0,37.0,1045573332
"Eswatini","Africa",7739.0,14.0,878104381
"Ethiopia","Africa",1730.0,17.0,88407169500
"Fiji","Oceania",8703.0,45.0,715998907
"Finland","Europe",40586.0,52.0,4405398634
"France","Europe",38606.0,43.0,53870178000
"Gabon","Africa",16562.0,3.0,1706842921
"Gambia","Africa",1562.0,7.0,1855255002
"Georgia","Asia",9745.0,18.0,3048506118
"Germany","Europe",45229.0,42.0,66784774916
"Ghana","Africa",4228.0,5.0,23767363872
"Greece","Europe",24574.0,44.0,7975104443
"Grenada","North America",13594.0,19.0,83744115
"Guatemala","North America",7424.0,12.0,14143647700
"Guinea","Africa",1999.0,4.0,10122927750
"Guinea-Bissau","Africa",1549.0,4.0,1487431620
"Guyana","South America",7435.0,27.0,593537079
"Haiti","North America",1653.0,0.0,8575470469
"Honduras","North America",4542.0,19.0,7567371488
"Hong Kong","Asia",56055.0,40.0,6042240000
"Hungary","Europe",26778.0,40.0,7321963120
"Iceland","Europe",46483.0,42.0,281757088
"India","Asia",6427.0,21.0,1104973363169
"Indonesia","Asia",11189.0,20.0,210311320668
"Iran","Asia",19083.0,45.0,65727231480
"Iraq","Asia",15664.0,11.0,31625741568
"Ireland","Europe",67335.0,46.0,3801955752
"Israel","Asia",33132.0,52.0,7172652000
"Italy","Europe",35220.0,45.0,47811037032
"Jamaica","North America",8194.0,16.0,2236043424
"Japan","Asia",39002.0,39.0,100966687596
"Jordan","Asia",8337.0,27.0,7804456720
"Kazakhstan","Asia",24056.0,30.0,14246218500
"Kenya","Africa",2993.0,5.0,41624176414
"Kiribati","Oceania",1981.0,20.0,38722772
"Kosovo","Europe",9796.0,34.0,1334804135
"Kuwait","Asia",65531.0,61.0,3324328704
"Kyrgyzstan","Asia",3393.0,12.0,4938118515
"Laos","Asia",6397.0,22.0,5453345562
"Latvia","Europe",25064.0,35.0,1430071444
"Lebanon","Asia",13368.0,17.0,5219015421
"Lesotho","Africa",2851.0,19.0,1487597163
"Liberia","Africa",753.0,6.0,3864435168
"Libya","Africa",17882.0,11.0,5281530342
"Lithuania","Europe",29524.0,43.0,2052364706
"Luxembourg","Europe",94278.0,3.0,487537152
"Macao","Asia",104862.0,41.0,527371191
"Madagascar","Africa",1416.0,2.0,21121508419
"Malawi","Africa",1095.0,3.0,14421397854
"Malaysia","Asia",26808.0,43.0,26188179805
"Maldives","Asia",15184.0,50.0,410433100
"Mali","Africa",2014.0,1.0,15391524312
"Malta","Europe",36513.0,59.0,391203800
"Mauritania","Africa",3598.0,10.0,3576557390
"Mauritius","Africa",20293.0,51.0,948703860
"Mexico","North America",17336.0,26.0,107075544840
"Moldova","Europe",5190.0,16.0,3038138875
"Mongolia","Asia",11841.0,56.0,2506949346
"Montenegro","Europe",16409.0,29.0,468526046
"Morocco","Africa",7485.0,27.0,29315657795
"Mozambique","Africa",1136.0,13.0,23832816345
"Myanmar","Asia",5592.0,23.0,40337226304
"Namibia","Africa",9542.0,3.0,1937920656
"Nauru","Oceania",12896.0,54.0,3783804
"Nepal","Asia",2443.0,23.0,23680586160
"Netherlands","Europe",48473.0,46.0,13137416910
"New Zealand","Oceania",36086.0,37.0,3916493200
"Nicaragua","North America",5321.0,33.0,4986569976
"Niger","Africa",926.0,2.0,18672191830
"Nigeria","Africa",5338.0,1.0,161510137856
"North Macedonia","Europe",13111.0,21.0,1595318326
"Norway","Europe",64800.0,42.0,4192137443
"Oman","Asia",37961.0,15.0,4011552768
"Pakistan","Asia",5035.0,21.0,172728345543
"Palestine","Asia",4450.0,10.0,3958849048
"Panama","North America",22267.0,30.0,3303713582
"Papua New Guinea","Oceania",3823.0,2.0,6775420715
"Paraguay","South America",8827.0,9.0,5458048596
"Peru","South America",12237.0,32.0,25253077155
"Philippines","Asia",7599.0,19.0,88060199630
"Poland","Europe",27216.0,37.0,28687923000
"Portugal","Europe",27937.0,47.0,7747957326
"Qatar","Asia",116936.0,49.0,2235989812
"Romania","Europe",23313.0,25.0,14651873352
"Russia","Europe",24766.0,25.0,115562321424
"Rwanda","Africa",1854.0,14.0,9944111233
"Saint Kitts and Nevis","North America",24654.0,37.0,39516948
"Saint Lucia","North America",12952.0,19.0,138116349
"Saint Vincent and the Grenadines","North America",10727.0,19.0,83340481
"Samoa","Oceania",6022.0,34.0,100072000
"San Marino","Europe",56861.0,38.0,25949630
"Sao Tome and Principe","Africa",3053.0,12.0,162162264
"Saudi Arabia","Asia",49045.0,50.0,26894257480
"Senegal","Africa",2471.0,3.0,13137979312
"Serbia","Europe",14049.0,33.0,5263605002
"Seychelles","Africa",26382.0,49.0,73984680
"Sierra Leone","Africa",1390.0,3.0,5959463076
"Singapore","Asia",85535.0,53.0,4362880000
"Sint Maarten (Dutch part)","North America",36327.0,50.0,14024983
"Slovakia","Europe",30155.0,32.0,4125097390
"Slovenia","Europe",31401.0,35.0,1642191170
"Solomon Islands","Oceania",2206.0,7.0,378045315
"South Africa","Africa",12295.0,15.0,47132966860
"South Korea","Asia",35938.0,43.0,41095452384
"South Sudan","Africa",1570.0,1.0,8274261079
"Spain","Europe",34272.0,49.0,36975461901
"Sri Lanka","Asia",11669.0,42.0,17111855576
"Sudan","Africa",4467.0,2.0,33682013250
"Suriname","South America",13767.0,22.0,443256702
"Sweden","Europe",46949.0,44.0,8036685769
"Switzerland","Europe",57410.0,40.0,6684783898
